muscleGroupId,name,recoveryTimeInHours,parentId,image,spec
1,Ngực,0.0,,,Push
2,Vai,0.0,,,Push
3,Lưng,0.0,,,Pull
4,Tay trước,0.0,,,Pull
5,Tay sau,0.0,,,Push
6,Cơ mông,0.0,,,Lower
7,Chân,0.0,,,Lower
8,Ngực dưới,0.0,1,,Push
9,Ngực giữa,0.0,1,,Push
10,Ngực trên,0.0,1,,Push
11,Vai giữa,0.0,2,,Push
12,Vai sau,0.0,2,,Push
13,Vai trước,0.0,2,,Push
14,Xô(Lat),0.0,3,,Pull
15,Lưng dưới,0.0,3,,Pull
16,Lưng giữa,0.0,3,,Pull
17,Cầu vai trên,0.0,3,,Pull
18,Tay trước,0.0,4,,Pull
19,Cơ đầu ngoài,0.0,5,,Push
20,Cơ đầu dài,0.0,5,,Push
21,Cơ đầu trong,0.0,5,,Push
22,Cơ mông lớn,0.0,6,,Lower
23,Cơ mông nhỡ,0.0,6,,Lower
24,Cơ mông bé,0.0,6,,Lower
25,Đùi sau,0.0,7,,Lower
26,Đùi trước,0.0,7,,Lower
27,Đùi ngoài,0.0,7,,Lower
28,Đùi trong,0.0,7,,Lower
29,Cardio,0.0,,,Cardio
